"gene_id","biotype","source"
"ATlnc_1344","lnc_exonic_antisense","DevSeq"
"ATlnc_1345","lnc_exonic_antisense","DevSeq"
"ATlnc_1346","lnc_exonic_antisense","DevSeq"
"ATlnc_1348","lnc_exonic_antisense","DevSeq"
"ATlnc_1349","lnc_exonic_antisense","DevSeq"
"ATlnc_135","lnc_exonic_antisense","DevSeq"
"ATlnc_1350","lnc_exonic_antisense","DevSeq"
"ATlnc_1353","lnc_exonic_antisense","DevSeq"
"ATlnc_1355","lnc_exonic_antisense","DevSeq"
"ATlnc_1358","lnc_exonic_antisense","DevSeq"
"ATlnc_1359","lnc_exonic_antisense","DevSeq"
"ATlnc_136","lnc_exonic_antisense","DevSeq"
"ATlnc_1362","lnc_exonic_antisense","DevSeq"
"ATlnc_1363","lnc_exonic_antisense","DevSeq"
"ATlnc_1364","lnc_exonic_antisense","DevSeq"
"ATlnc_1365","lnc_exonic_antisense","DevSeq"
"ATlnc_1366","lnc_exonic_antisense","DevSeq"
"ATlnc_1368","lnc_exonic_antisense","DevSeq"
"ATlnc_1369","lnc_exonic_antisense","DevSeq"
"ATlnc_1370","lnc_exonic_antisense","DevSeq"
"ATlnc_1372","lnc_exonic_antisense","DevSeq"
"ATlnc_1373","lnc_exonic_antisense","DevSeq"
"ATlnc_1377","lnc_exonic_antisense","DevSeq"
"ATlnc_1378","lnc_exonic_antisense","DevSeq"
"ATlnc_1379","lnc_exonic_antisense","DevSeq"
"ATlnc_1381","lnc_exonic_antisense","DevSeq"
"ATlnc_1383","lnc_exonic_antisense","DevSeq"
"ATlnc_1389","lnc_exonic_antisense","DevSeq"
"ATlnc_1396","lnc_exonic_antisense","DevSeq"
"ATlnc_140","lnc_exonic_antisense","DevSeq"
"ATlnc_1404","lnc_exonic_antisense","DevSeq"
"ATlnc_1405","lnc_exonic_antisense","DevSeq"
"ATlnc_1406","lnc_exonic_antisense","DevSeq"
"ATlnc_1407","lnc_exonic_antisense","DevSeq"
"ATlnc_1408","lnc_exonic_antisense","DevSeq"
"ATlnc_141","lnc_exonic_antisense","DevSeq"
"ATlnc_1410","lnc_exonic_antisense","DevSeq"
"ATlnc_1413","lnc_exonic_antisense","DevSeq"
"ATlnc_1416","lnc_exonic_antisense","DevSeq"
"ATlnc_1418","lnc_exonic_antisense","DevSeq"
"ATlnc_1419","lnc_exonic_antisense","DevSeq"
"ATlnc_1423","lnc_exonic_antisense","DevSeq"
"ATlnc_1427","lnc_exonic_antisense","DevSeq"
"ATlnc_1428","lnc_exonic_antisense","DevSeq"
"ATlnc_1430","lnc_exonic_antisense","DevSeq"
"ATlnc_1432","lnc_exonic_antisense","DevSeq"
"ATlnc_1433","lnc_exonic_antisense","DevSeq"
"ATlnc_1434","lnc_exonic_antisense","DevSeq"
"ATlnc_1437","lnc_exonic_antisense","DevSeq"
"ATlnc_1439","lnc_exonic_antisense","DevSeq"
"ATlnc_1440","lnc_exonic_antisense","DevSeq"
"ATlnc_1445","lnc_exonic_antisense","DevSeq"
"ATlnc_1449","lnc_exonic_antisense","DevSeq"
"ATlnc_1451","lnc_exonic_antisense","DevSeq"
"ATlnc_1452","lnc_exonic_antisense","DevSeq"
"ATlnc_1454","lnc_exonic_antisense","DevSeq"
"ATlnc_1455","lnc_exonic_antisense","DevSeq"
"ATlnc_1457","lnc_exonic_antisense","DevSeq"
